Area,Homeownership_Rate,Renter_Rate
134901,67.61,32.39
134903,0.38,99.62
134904,47.46,52.54
134905,12.67,87.33
135102,70.79,29.21
135111,56.18,43.82
135113,10.54,89.46
135114,13.66,86.34
135201,79.8,20.2
135202,85.26,14.74
135203,87.54,12.46
137000,89.01,10.99
137103,49.82,50.18
137104,78.69,21.31
137201,45.92,54.08
137301,83.2,16.8
137302,86.15,13.85
137401,76.53,23.47
137402,66.65,33.35
137501,45.81,54.19
137502,67.27,32.73
137504,95.29,4.71
138000,81.52,18.48
139001,49.2,50.8
139200,50.34,49.66
139301,85.87,14.13
139302,21.11,78.89
139303,24.29,75.71
139401,20.81,79.19
139402,84.93,15.07
139502,57.33,42.67
139503,35.23,64.77
139504,32.06,67.94
139600,58.82,41.18
139701,73.89,26.11
139702,95.26,4.74
139703,84.51,15.49
139801,88.15,11.85
139802,92.57,7.43
141101,30.23,69.77
141102,46.43,53.57
141201,12.69,87.31
141202,32.67,67.33
141302,29.81,70.19
141303,23.74,76.26
141304,43.43,56.57
141400,53.71,46.29
141500,93.77,6.23
141600,92.87,7.13
141700,94.36,5.64
143100,43.49,56.51
143200,26.49,73.51
143300,39.54,60.46
143400,39.09,60.91
143500,44.96,55.04
143602,40.21,59.79
143603,31.94,68.06
143604,2.99,97.01
143700,67.42,32.58
143800,63.1,36.9
143901,85.46,14.54
143902,60.66,39.34
181000,79.02,20.98
181300,68.6,31.4
181400,27.6,72.4
181500,76.88,23.12
181600,54.65,45.35
183101,56.64,43.36
183103,23.38,76.62
183104,66.5,33.5
183220,39.3,60.7
183221,49.7,50.3
183222,58.97,41.03
183300,52.92,47.08
183401,53.86,46.14
183402,35.53,64.47
183510,62.3,37.7
183520,32.25,67.75
183610,24.66,75.34
183620,34.26,65.74
183701,26.6,73.4
183702,47.92,52.08
183810,13.59,86.41
183820,21.02,78.98
185100,52.4,47.6
185202,50.07,49.93
185203,41.72,58.28
185204,75.33,24.67
185310,36.81,63.19
185320,33.41,66.59
186100,55.5,44.5
186201,22.01,77.99
186202,46.21,53.79
186203,79.58,20.42
186301,32.17,67.83
186302,66.35,33.65
186401,9.38,90.62
186403,42.29,57.71
186404,28.55,71.45
187101,45.87,54.13
187102,33.88,66.12
187200,38.63,61.37
187300,43.19,56.81
188100,28.05,71.95
188201,17.72,82.28
188202,58.05,41.95
188300,51.87,48.13
189101,11.81,88.19
189102,26.61,73.39
189201,4.98,95.02
189202,51.31,48.69
189300,86.36,13.64
189400,52.74,47.26
189500,11.81,88.19
189600,43.44,56.56
189701,53.22,46.78
189702,43.82,56.18
189800,25.35,74.65
189902,6.1,93.9
