Area,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
134720,0,18.743109
134800,0,14.001473
134901,0,21.777222
134903,0,49.42717
134904,0,12.961012
134905,0,35.466667
135102,0,30.506329
135111,0,18.34993
135113,5.206738,29.862175
135114,1.5015016,18.768768
135201,0,18.412163
135202,0,23.849766
135203,6.0863876,12.892671
137000,0.70921987,17.325228
137103,8.967083,31.214529
137104,0,48.18182
137201,5.0468636,33.381397
137301,0,16.949152
137302,0,9.3943138
137401,0.79787236,21.276596
137402,0,40.494701
137501,0,25
137502,0,17.524509
137504,0,8.2508249
138000,0,10.072816
139001,0,12.878049
139200,0,30.265211
139301,0,12.512315
139302,0,47.267208
139303,0,54.494381
139401,0,45.053005
139402,0,12.23733
139502,0,24.105461
139503,0,22.628727
139504,0,34.215885
139600,0,13.268999
139701,0,7.3096447
139702,8.446866,5.4495912
139703,0,12.345679
139801,0,1.3910356
139802,0,10.013908
141101,0,19.920319
141102,0,22.586206
141201,0,25.900276
141202,0,27.290836
141302,0,16.516516
141303,0,24.087591
141304,4.1055717,15.982405
141400,0,4.5112782
141500,1.2931035,21.839081
141600,0,17.256012
141700,0,7.1984434
143100,0,3.8793104
143200,0,41.196014
143300,1.242236,37.965839
143400,0,18.027889
143500,0,25.675676
143602,0,27.436823
143603,0,8.9361706
143604,0,34.600761
143700,0,15.509259
143800,0,13.548388
143901,1.1415526,14.269406
143902,0,20.437956
181000,0,15.308151
181300,0,38.995567
181400,0,19.074492
181500,0,33.053223
181600,3.2457497,29.211746
183101,5.2098408,26.917511
183103,0,46.889088
183104,0,25.693161
183220,0,46.153847
183221,0,64.03302
183222,0,50.510204
183300,0,30.069929
183401,1.3636364,42.045456
183402,4.1009464,27.91798
183510,0,47.097843
183520,0,45.419479
183610,0.84033614,48.499401
183620,1.8499486,34.018501
183701,0,42.339832
183702,0,23.865299
183810,0,53.701969
183820,0,32.167301
185100,0,28.171335
185202,0.88691795,49.334812
185203,0,39.368999
185204,0,36.741215
185310,0,35.308056
185320,0,30.524643
186100,0,29.225351
186201,0,47.19101
186202,0,24.355972
186203,0,19.961241
186301,4.5283017,51.949684
186302,2.2909508,36.311569
186401,0,43.418259
186403,0,39.800995
186404,0,32.973804
187101,0,57.665905
187102,0.86206895,21.839081
187200,0,37.217392
187300,0,23.700624
188100,0,14.368932
188201,0,27.577938
188202,0,35.855263
188300,4.7393365,19.905212
189101,0,22.535212
189102,0,52.791878
189201,0,20.76923
189202,0,31.428572
189300,0,2.6246719
189400,0,25.080385
189500,0,27.89855
189600,5.4237289,0
189701,0,38.64043
189702,0,16.04278
189800,0,0
189902,0,85.714287
189903,0,0
189904,0,54.128441
189905,0,0
190100,0,13.754647
190201,0,77.631577
190202,0,39.705883
190301,0,56.097561
190401,0,33.666668
190402,0,48.92704
190510,0,46.24099
190520,0,40.829346
190700,0,92.779785
190801,0,55.90062
190802,0,12.012012
190901,0,54.296505
190902,0,56.630825
191000,0,64.705879
191110,0,74.468086
191120,0,43.773121
191201,0,38.146553
191203,0,58.884296
191204,0,38.851353
191301,0,28.438229
191302,0,27.439024
191410,0,45.344704
191420,0.67643744,56.708004
191500,0,50.127441
191610,0,50.803459
191620,0,65.209473
191710,1.3769363,53.5284
191720,0,34.086445
191810,0,33.55526
191820,12.5,39.545456
191901,0,40.425533
191902,1.5306122,19.897959
192001,0,1.7241379
192002,0,13.157895
192300,0,11.801242
192410,1.0186757,13.412563
192420,0,11.776251
192510,0,27.297297
192520,0,49.602314
192610,0,42.844284
192620,0,44.733986
192700,0,52.258064
194101,0,34.139786
194102,0,22.026432
194200,0,13.227513
194300,0,17.22913
194401,0,47.619049
194402,0,39.639641
194500,0,24.596775
195100,0,13.419354
195201,0,43.333332
195202,2.0304568,21.658207
195300,0,43.881855
195400,0,12.307693
