Area,Neighborhood,LA_Crimes,Total_Population,Under_Age_18,Ages_18-24,Ages_25-34,Ages_35-44,Ages_45-54,Ages_55-64,Ages_65_&_Older,Young_Adults_Enrolled_in_School,College_Graduation_Rate,Less_Than_High_School,Labor_Force_Participation_Rate,Unemployment_Rate,Homeownership_Rate,Renter_Rate,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant,Divorced_Separated,Married,Never_Married,Median_Household_Income,Opportunity_Youth,Homeless_count,Below_100_Poverty_Threshold,Below_200_Poverty_Threshold,White,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,Median_Rent_Price,No_Vehicle_Households,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
104103,Lake View Terrace,12.440906,4019,24.483702,14.232396,13.038069,13.062951,11.072406,12.590197,11.520279,50.349651,12.74868,33.901745,61.467598,13.850129,80.63,19.37,49.696602,50.303398,41.005226,9,47,40,5,15.497076,2,6.6208301,40.463459,5.3744712,0.39810898,8.8579245,12.515552,71.933319,0.14929087,0.77133614,1644,0.37974682,0,23.116089
104105,Pacoima,6.8504882,5839,29.576982,11.765714,14.848433,13.546841,12.245248,9.0768967,8.939887,67.248909,16.437956,43.328468,61.938919,14.717968,49.77,50.23,38.546711,61.453289,49.494778,8,43,44,4,9.2530661,13,26.655231,58.610634,7.484158,0,6.7306046,5.4975166,80.133583,0,0.15413599,672,6.6797643,0.52113491,47.423279
104108,Pacoima,23.794996,4917,25.828758,13.280456,15.802319,15.497254,11.856823,8.074029,9.6603622,34.303215,13.527054,41.683365,60.067638,10.480727,48.53,51.47,40.130863,59.869137,37.299168,16,41,40,4,13.882353,NULL,18.707968,59.119625,4.3319097,0,4.6166363,12.161887,78.543831,0,0.34573928,1311,12.150221,1.5748031,43.543308
104124,Lopez/Kagel Canyons,15.10223,4304,18.959108,12.05855,13.266728,12.290893,18.889404,10.153346,14.38197,65.125244,30.313236,18.187943,63.901222,10.030396,82.82,17.18,49.23077,50.76923,27.184015,10,50,36,4,13.28,NULL,11.188119,33.539604,30.018587,0.7202602,4.3680296,8.4804831,53.438663,0.27881041,2.6951673,1383,2.3387096,0,22.44898
104201,Pacoima,14.347202,4879,28.673908,13.404387,18.589874,12.728018,11.149826,9.6126251,5.841361,49.082569,3.7154989,45.753716,62.972153,12.478108,70.35,29.65,26.301853,73.698143,46.443943,10,37,49,4,15.5,12,23.104771,48.679726,0.14347202,0,0,12.728018,87.12851,0,0,1944,3.5674469,1.0721945,32.237312
104203,Pacoima,17.398508,4828,32.166527,11.723281,17.854183,10.749793,12.862469,8.1607294,6.4830155,13.780919,5.0203028,50.31377,74.257988,13.950807,42.84,57.16,32.035549,67.964455,48.943661,7,48,42,3,20.284237,NULL,22.400835,63.736954,0.47638774,0,5.1574149,4.8467274,88.276718,1.0770506,0.16570008,1308,9.6711798,0,29.555698
104204,Lake View Terrace,31.43535,3372,22.716488,9.8161325,16.281139,13.671412,15.510083,13.048635,8.956109,44.108761,10.549451,44,55.277676,12.109115,62.36,37.64,37.390213,62.609787,47.271648,13,38,43,5,19.954649,NULL,28.792988,61.126095,11.565836,0.26690391,5.5160141,6.3167262,73.991699,0,2.3428233,1000,8.238636,0,30.678852
104310,Pacoima,14.734393,5158,26.405584,10.178364,17.448624,14.09461,12.427298,8.8794107,10.566111,30.095238,4.4940386,52.491592,63.631687,14.834276,62.7,37.3,26.761087,73.238914,52.016285,8,40,45,6,20.772947,2,21.47385,57.606972,0.94998062,0.32958511,0,5.0407133,93.175652,0,0.50407135,1571,8.0419579,1.9823788,24.375917
104320,Pacoima,32.512684,5321,21.011087,11.821086,24.581846,9.6222515,10.543131,12.140575,10.280023,25.755167,7.0229435,48.181309,66.466232,20.45929,46.48,53.52,41.759998,58.240002,46.98365,10,36,49,5,20.666666,90,20.484871,55.421913,2.8941929,0,1.6914114,4.4728436,89.889122,0,1.0524337,863,15.378007,0,55.545616
104401,Pacoima,18.608414,3708,30.798273,11.839267,17.853291,15.183387,10.598705,7.6591153,6.0679612,35.079727,5.9238362,58.298073,67.297699,12.41037,56.6,43.4,31.405514,68.594482,40.102482,6,49,42,3,16.75485,14,23.746273,50.772568,1.3754045,0,0,0,98.624596,0,0,1603,7.2340426,0,31.486368
104403,Pacoima,20.212402,2919,23.946556,10.791367,18.533745,14.114423,11.647824,9.0441933,11.921891,18.412699,11.023623,50.97113,63.060345,16.267942,63.29,36.71,41.154701,58.845299,46.282974,8,48,37,7,22.168674,NULL,31.461061,53.411442,4.1109967,0,0.85645771,0.3768414,94.655701,0,0,1371,10.126582,0,18.741058
104404,Pacoima,27.08559,2769,29.360781,10.364753,17.984833,13.037197,12.676056,7.9812207,8.5951605,33.101044,3.5350509,55.182743,68.035629,13.454545,46.27,53.73,28.225176,71.774826,46.18996,6,45,47,2,26.420454,NULL,23.654749,56.374142,1.2639942,0,0.79451066,5.7060308,90.249184,0,1.9862766,1294,4.9751244,0,42.312424
104500,Pacoima,26.255333,3047,25.336397,16.245487,16.343945,13.849689,12.077454,7.9094191,8.2376108,29.292929,3.483146,51.741573,62.117348,8.3504448,56.1,43.9,40.159191,59.840809,45.356087,10,38,50,3,21.853148,31,24.442966,49.318256,0.82047915,0,0.196915,0,98.982605,0,0,1194,5.8536587,1.2953368,43.523315
104610,Pacoima,18.906942,3385,27.533236,11.137371,17.784342,14.948301,10.546529,9.0103397,9.0398817,33.687004,3.5645473,50.626205,61.126648,11.176471,55.68,44.32,37.782341,62.217659,43.161003,12,37,45,6,25.526932,28,28.609625,55.882355,1.211226,0,0,0,98.64106,0,0.14771049,1328,3.2258065,2.3605151,37.982834
104620,Pacoima,18.99474,3422,29.339567,13.267096,10.929281,15.429573,11.718293,10.607832,8.7083578,31.277533,3.5132382,59.012218,62.524502,12.476489,62.14,37.86,32.408005,67.591995,45.265926,10,49,38,2,22.657581,3,21.303331,53.068382,1.0227937,0,0.55523086,0,98.421974,0,0,1236,3.8834951,0,31.573706
104701,Pacoima,29.118774,3915,37.879948,14.099617,13.742018,11.519795,9.4252872,7.8671775,5.466156,32.971016,6.8085108,59.255318,58.81226,21.433226,24.35,75.65,35.099792,64.900208,37.113667,8,40,49,2,24.594595,8,41.302681,82.809708,0.20434228,0,0,5.2873564,93.58876,0,0.91954023,818,22.334455,0,59.204315
104703,Pacoima,15.425298,2269,37.725872,11.458793,16.130453,17.672983,7.4922872,3.8783605,5.6412516,34.23077,11.968777,53.772766,63.612217,12.734864,39.04,60.96,19.921492,80.078506,44.909653,12,43,42,3,22.946177,NULL,32.833847,75.099159,2.4680476,0.74922872,0,2.9087703,93.873955,0,0,1322,4.7945204,0,33.060749
104704,Pacoima,11.71435,4439,31.741383,10.587971,16.197342,16.985807,12.119846,7.5016894,4.8659606,23.19149,14.414063,37.421875,61.50732,13.063292,55.92,44.08,42.034657,57.965343,40.301868,11,34,50,5,26.16099,NULL,24.622663,61.387699,4.9335437,0,5.4291506,10.723136,78.553726,0,0.36044154,1365,1.2567325,0,45.990063
104810,Pacoima,15.86754,5798,26.043463,8.9341154,19.006554,14.091066,11.210762,10.469128,10.244912,48.648647,5.7824936,41.803715,63.605518,7.7880511,63.22,36.78,43.785774,56.214226,42.186962,10,40,46,4,11.674347,8,20.930233,42.953835,3.5874438,0,1.3625388,0.20696792,94.843048,0,0,1509,0.57471263,0,34.966888
104821,Pacoima,28.327749,3283,25.555895,14.102955,16.874809,13.859275,14.346634,5.2086506,10.051782,22.678186,10.449268,44.977283,66.588234,12.13192,43.86,56.14,34.726223,65.273773,42.278404,9,40,45,6,24.300699,NULL,19.022902,66.076332,5.1477308,0,3.0459945,3.4724338,87.572342,0.63965887,0.12183978,1333,4.5691905,0,38.140644
104822,Pacoima,11.664075,2572,29.354588,13.335925,11.197512,16.290825,17.729393,4.0435457,8.0482111,26.239067,8.2089548,55.902306,75.678444,20.230042,37.13,62.87,32.01646,67.983536,47.239502,9,38,48,4,13.778706,NULL,29.843138,61.294117,2.2939346,0,8.0870914,1.6718507,87.402802,0,0.5443235,1341,10.09772,0,31.523178
106010,Sylmar,25.743898,2991,23.704447,10.999665,9.6288862,16.048145,15.91441,12.036108,11.668339,53.799393,22.171019,22.734255,63.833332,7.3759789,72.37,27.63,41.366905,58.633095,27.883652,9,43,42,6,9.6412554,21,23.649782,39.382759,17.084587,0.63523906,6.0514879,2.2734871,69.541962,0.46807086,3.9451687,1622,2.6002166,1.4104372,42.313118
106020,Sylmar,16.722408,6279,26.532887,10.479376,12.661252,13.760153,12.231247,12.406434,11.928651,62.917934,16.460176,35.271809,60.269497,9.6205959,88.17,11.83,42.565056,57.434944,34.272972,16,46,34,3,8.1720428,80,9.2963619,42.683121,13.298296,0.66889632,2.7552159,1.0670489,81.860168,0,0.35037425,1480,3.0812325,1.5606242,24.789915
106111,Sylmar,19.310631,4816,24.231728,10.02907,9.0323925,14.908638,15.635382,13.517442,12.645349,54.658386,24.289324,22.488945,63.502537,10.431655,88.67,11.33,55.303032,44.696968,30.149502,13,46,38,3,10.686016,13,11.627907,21.345514,21.989202,2.4294019,5.6478405,1.6403655,65.033226,0,3.2599669,2034,1.5452539,0,28.877464
106112,Sylmar,17.806623,6009,28.673656,10.251289,12.79747,16.59178,12.364786,9.9517393,9.3692799,54.870129,23.242506,27.629427,60.844154,8.7513342,84.68,15.32,62.74617,37.25383,30.421036,10,48,39,3,5.6902003,156,16.125727,35.855824,15.976036,0,9.9350977,0.81544352,71.29306,0.53253454,1.4478283,1819,1.591512,0,23.505514
