Area,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant
123205,42.154255,57.845745,55.416359
123206,45.969772,54.030228,55.215576
123301,62.546417,37.453583,41.898201
123303,47.540985,52.459015,59.7673
123304,55.522766,44.477234,52.758007
123410,50,50,53.478786
123420,46.224255,53.775745,50.508553
123510,42.37495,57.62505,49.150509
123520,53.070175,46.929825,45.599998
123601,58.783051,41.216949,51.976658
123602,52.615845,47.384155,37.322174
123700,75.269539,24.730457,39.881752
123800,72.68293,27.317074,32.952312
123901,52.216465,47.783535,40.143288
123902,60.304661,39.695339,41.014332
124000,75.900902,24.099098,17.435696
124102,45.330971,54.669029,45.192307
124103,36.741478,63.258522,54.607353
124104,48.121647,51.878353,40.997433
124105,37.936386,62.063614,47.847069
124201,53.258724,46.741276,48.748394
124203,38.503937,61.496063,47.159302
124204,39.923954,60.076046,42.460445
124300,43.561104,56.438896,40.435707
124400,57.8125,42.1875,31.47541
124500,68.152031,31.847969,23.836302
124600,62.253521,37.746479,21.162443
124700,57.606838,42.393162,23.316063
124902,66.16848,33.83152,24.590712
124903,64.585464,35.414536,30.426659
125100,52.947781,47.052219,29.058575
125200,29.484734,70.515266,27.557192
125310,41.054401,58.945599,36.634476
125320,60.270775,39.729225,38.664261
125401,63.162624,36.837376,28.999479
125402,43.755867,56.244133,26.4268
125501,53.502415,46.497585,25.228519
125502,62.952244,37.047756,19.503246
125600,74.940331,25.059666,17.582878
127102,36.477272,63.522728,51.073708
127103,30.501673,69.498329,44.72031
127104,44.358208,55.641792,43.170105
127210,42.103157,57.896843,42.368286
127220,40.246178,59.753822,56.994049
127300,51.610905,48.389095,35.224792
127400,28.482111,71.517891,47.29752
127520,24.883623,75.116379,59.551411
127603,31.223629,68.776375,54.897419
127604,55.526318,44.473682,40.977715
127605,24.538935,75.461067,47.378639
127606,45.169888,54.830112,39.159927
127711,58.732132,41.267868,43.055927
127712,32.175228,67.824776,45.924385
127803,45.407871,54.592129,43.466404
127804,43.143631,56.856369,44.41502
127805,33.236874,66.763123,57.267994
127806,48.513741,51.486259,55.321129
127910,29.186604,70.8134,48.907955
127920,47.219414,52.780586,49.289806
128101,52.542374,47.457626,42.766537
128102,30.234657,69.765343,47.523052
128210,20.153551,79.846451,47.754353
128220,42.235004,57.764996,42.198334
128302,33.005733,66.99427,46.943481
128303,22.803955,77.196045,50.058243
128400,60.01553,39.98447,30.806026
128500,67.469879,32.530121,24.279928
128601,47.77137,52.22863,41.728664
128602,52.690166,47.309834,17.364691
128702,59.750778,40.249222,27.347078
128801,70.350693,29.649309,28.411837
128802,54.786808,45.213192,26.01507
128910,65.904938,34.095062,26.741629
131010,49.001331,50.998669,47.622066
131020,40.582726,59.417274,51.253334
131100,64.032257,35.967743,36.067482
131200,65.033623,34.966377,33.71114
131300,64.361473,35.638523,47.780254
131400,63.896404,36.103596,41.345692
131600,58.537735,41.462265,39.79726
131701,50.844852,49.155148,43.652214
131702,50.070423,49.929577,38.819027
131800,46.452328,53.547672,47.060871
131900,53.731342,46.268658,39.864002
132001,52.994793,47.005207,23.244553
132002,51.470589,48.529411,21.896955
132101,49.873577,50.126423,35.638657
132102,55.611221,44.388779,37.127975
132300,48.185093,51.814907,48.836266
132501,52.57782,47.42218,50.503563
132502,64.289513,35.710484,47.38966
132700,31.623569,68.376434,42.820839
132900,53.789005,46.210995,34.275528
133000,49.477535,50.522465,41.527447
133100,56.557377,43.442623,46.228039
134001,31.43644,68.56356,55.290535
134002,50.29459,49.70541,44.879807
134101,46.67519,53.32481,53.242554
134103,51.810089,48.189911,37.78027
134104,50.747707,49.252293,50.012062
134201,39.37397,60.62603,43.763519
134302,76.258209,23.741795,23.71562
134303,69.546669,30.453333,30.976376
134304,61.131058,38.868942,36.973118
134305,19.035715,80.964287,61.175442
134306,42.269611,57.730389,35.815601
134421,74.626869,25.373135,21.788618
134422,80.965515,19.034483,29.040657
134423,100,0,17.702784
134424,91.622337,8.3776598,27.596331
134520,29.992842,70.007156,51.360294
134521,15.162037,84.837959,56.470589
134522,30.126183,69.873817,49.441124
134710,18.149809,81.850189,52.249538
134720,41.550781,58.449219,48.837208
134800,64.927856,35.072144,42.181648
134901,54.829544,45.170456,31.242603
134903,40.248028,59.751972,45.549469
134904,36.945393,63.054607,50.064075
134905,78.044281,21.955719,31.212208
135102,57.177227,42.822773,30.040955
135111,57.578739,42.421261,32.795353
135113,44.819279,55.180721,41.075554
135114,31.065468,68.934532,49.481262
135201,66.00985,33.990147,21.88286
135202,72.145142,27.854856,20.530237
135203,76.576019,23.423981,22.112888
137000,88.218391,11.78161,21.763601
137103,67.912369,32.087627,32.502617
137104,84.522499,15.477497,31.720057
137201,59.468937,40.531063,34.166382
137301,84.962402,15.037594,17.530756
137302,75.790428,24.209576,24.49115
137401,65.234764,34.765236,22.817415
137402,78.931206,21.068796,28.516378
137501,55.056179,44.943821,30.674545
137502,76.418243,23.581757,21.836288
137504,94,6,29.600395
138000,76.024277,23.975721,27.829391
139001,61.083744,38.916256,28.940937
139200,78.158669,21.841331,36.490349
139301,73.943665,26.056337,31.864546
139302,61.515305,38.484695,42.713245
139303,63.155216,36.844784,44.40678
139401,59.253731,40.746269,43.733681
139402,81.418442,18.58156,24.530272
139502,73.978493,26.021505,45.948616
139503,62.492565,37.507435,57.845837
139504,73.547318,26.452684,51.175304
139600,88.880486,11.119515,28.515963
139701,84.570473,15.429524,24.115044
139702,84.849907,15.150094,35.164108
139703,84.878052,15.121951,36.950253
139801,87.041283,12.958715,25.407925
139802,89.786224,10.213777,43.246021
141101,45.246479,54.753521,23.730938
141102,58.863636,41.136364,29.362696
141201,49.03661,50.96339,24.808796
141202,73.652695,26.347305,29.195805
141302,79.73568,20.264317,31.654175
141303,71.441444,28.558559,35.03788
141304,79.265877,20.734127,30.948727
141400,84.940414,15.059588,20.361792
141500,95.748032,4.2519684,21.258787
141600,80.284775,19.715225,21.957672
141700,77.446106,22.553898,19.432806
143100,70.234604,29.765396,15.58501
143200,52.296295,47.703705,17.149391
143300,52.356689,47.643311,22.926401
143400,75,25,14.632627
143500,58.454811,41.545189,14.570943
143602,45.849804,54.150196,16.049906
143603,75.601372,24.398626,12.950601
143604,41.210709,58.789291,25.10228
143700,63.860832,36.139168,24.572533
143800,79.358437,20.641562,13.010343
143901,72.110794,27.889208,25.156176
143902,72.580643,27.419355,18.581419
181000,82.503769,17.496229,32.273243
181300,79.186226,20.813772,32.560509
181400,57.833332,42.166668,38.969475
181500,69.154228,30.845772,25.888718
181600,57.110268,42.889732,28.389465
183101,55.42857,44.57143,38.115982
183103,59.673203,40.326797,34.552845
183104,69.444443,30.555555,35.940102
183220,54.207344,45.792656,48.17469
183221,53.881279,46.118721,27.703985
183222,72.676056,27.323944,30.780346
183300,70.232956,29.76704,34.442795
183401,58.128654,41.871346,35.185184
183402,50.302116,49.697884,43.324608
183510,57.142857,42.857143,37.207458
183520,33.225178,66.774818,40.403774
183610,35.122898,64.877106,44.045586
183620,36.70121,63.29879,34.827068
183701,34.670845,65.329155,41.775799
183702,57.057316,42.942684,35.947109
183810,43.1026,56.8974,48.396294
183820,34.988583,65.011414,43.799999
185100,47.595726,52.404274,34.810913
185202,44.306049,55.693951,27.508566
185203,42.471302,57.528698,45.653515
185204,76.558266,23.441734,38.985737
185310,44.377357,55.622643,41.290123
185320,49.283669,50.716331,49.750534
186100,60.881695,39.118305,38.687393
186201,54.004856,45.995144,50.045551
186202,51.870079,48.129921,50.02462
186203,64.653244,35.346756,30.325645
186301,26.208027,73.791977,39.349018
186302,55.091534,44.908466,36.576691
186401,44.02549,55.97451,52.04533
186403,54.787235,45.212765,50.166779
186404,37.916309,62.083691,44.780113
187101,79.226685,20.773314,45.545582
187102,64.1604,35.8396,47.44352
187200,47.899158,52.100842,42.759613
187300,60.023445,39.976555,27.062183
188100,65.211266,34.788731,37.755917
188201,64.535583,35.464417,23.753582
188202,78.428352,21.57165,28.08308
188300,72.297295,27.702703,45.121952
189101,96.128174,3.871829,29.769476
189102,70.085472,29.91453,29.286608
189201,68.611847,31.388151,34.429222
189202,64.186852,35.813148,22.481525
189300,79.094078,20.905924,29.255861
189400,62.444443,37.555557,12.809565
189500,66.880615,33.119385,19.445831
189600,49.761528,50.238472,17.643759
189701,47.007618,52.992382,23.994778
189702,64.327484,35.672516,17.952755
189800,73.217552,26.78245,27.487436
189902,61.990715,38.009285,37.159832
189903,63.394344,36.605656,27.992548
189904,51.709843,48.290157,38.324066
189905,49.428104,50.571896,50.788383
190100,46.07938,53.92062,21.516352
190201,40.176991,59.823009,42.867981
190202,42.26376,57.73624,31.698486
190301,53.654106,46.345894,43.010544
190401,76.184212,23.81579,44.600941
190402,48.663521,51.336479,54.150703
190510,44.838482,55.161518,56.19574
190520,38.08765,61.91235,63.20826
190700,32.679245,67.320755,39.789791
190801,55.886848,44.113152,53.431374
190802,42.960812,57.039188,51.037037
190901,33.619282,66.380722,54.789616
190902,46.834862,53.165138,50.299953
191000,53.57634,46.42366,38.424946
191110,52.610641,47.389359,58.272964
191120,42.099365,57.900635,58.437023
191201,54.36853,45.63147,51.121929
191203,44.288448,55.711552,56.919724
191204,50.888531,49.111469,59.864605
191301,43.89706,56.10294,54.291416
191302,41.339985,58.660015,58.3368
191410,26.074381,73.925621,47.665943
191420,30.383091,69.616905,59.873451
191500,38.048782,61.951218,57.715996
191610,34.283386,65.716614,56.149979
191620,36.822723,63.177277,62.656559
191710,24.80315,75.196854,60.641201
191720,23.624733,76.375267,60.453724
191810,27.272728,72.727272,44.301628
191820,51.765892,48.234108,36.447224
191901,41.314552,58.685448,36.286201
191902,59.968102,40.031898,20.802919
192001,59.420288,40.579712,25.141701
192002,82.901558,17.098446,22.209436
192300,68.873238,31.12676,25.275898
192410,60.909092,39.090908,36.230049
192420,47.724258,52.275742,53.147018
192510,42.328484,57.671516,65.602837
192520,32.366974,67.633026,54.895245
192610,39.26358,60.73642,57.229294
192620,31.022062,68.977936,60.882675
192700,46.975693,53.024307,47.566551
194101,56.009335,43.990665,27.223635
194102,82.938385,17.061611,22.228075
194200,54.50597,45.49403,25.253633
194300,54.981548,45.018452,21.784565
194401,68.478264,31.52174,26.136364
194402,65.517242,34.482758,18.476942
194500,71.44886,28.551136,35.991821
195100,70.390312,29.60969,15.034399
195201,63.328999,36.671001,25.505804
195202,77.586205,22.413794,21.86775
195300,63.212437,36.787563,35.552631
195400,71.112999,28.887001,26.586853
195500,47.673531,52.326469,26.635513
195600,49.449036,50.550964,43.551289
195710,29.61039,70.38961,48.285954
195720,32.731647,67.268349,37.381916
195802,47.229553,52.770447,55.187477
195803,49.300156,50.699844,43.110962
195804,45.566288,54.433712,46.642097
195901,40.567375,59.432625,30.559168
195902,64.375,35.625,23.79772
195903,65.507248,34.492752,29.792746
197200,67.947311,32.052689,47.019356
197300,49.259258,50.740742,41.389881
197410,54.141415,45.858585,23.098459
197420,61.120399,38.879601,34.59647
197500,41.418438,58.581562,35.877861
197600,54.331451,45.668549,43.757725
197700,57.354576,42.645424,52.23534
199000,45.059566,54.940434,51.534851
199110,54.594017,45.405983,37.439999
199120,39.859833,60.140167,50.914364
199201,43.78801,56.21199,55.860229
199202,43.778111,56.221889,43.809525
199300,42.118645,57.881355,33.183353
199400,50.713013,49.286987,49.723022
199700,36.005089,63.994911,47.67971
199800,46.966946,53.033054,55.115116
199900,38.076313,61.923687,46.26701
201110,64.199196,35.800808,27.963869
201120,45.567474,54.432526,42.409004
201200,41.860466,58.139534,37.18045
201301,36.23304,63.76696,37.889324
201302,70.570572,29.42943,36.473164
201401,45.526932,54.473068,41.642284
201402,57.763237,42.236763,35.819305
201501,51.0975,48.9025,36.237514
201503,42.745098,57.254902,38.812786
201504,39.523212,60.476788,38.992172
201601,42.985844,57.014156,34.6875
201602,59.194397,40.805603,39.311531
201700,55.937138,44.062862,29.287418
203100,25.024729,74.975273,43.1222
203200,26.979212,73.02079,46.369976
203300,39.771103,60.228897,33.365154
203500,34.283821,65.716179,48.086735
203600,34.753471,65.246529,43.036671
203710,25.378515,74.621483,40.10989
203720,19.455423,80.544579,55.013287
203800,31.402142,68.597855,40.64912
203900,31.938326,68.061676,43.978043
204110,35.728542,64.271454,48.003834
204120,43.446381,56.553619,39.744991
204200,28.726614,71.273384,48.994678
204300,28.588858,71.41114,51.101414
204410,32.041885,67.958115,45.979778
204420,24.240063,75.759941,44.104504
204600,27.844311,72.155685,43.25491
204700,32.211945,67.788055,49.593327
204810,28.169014,71.830986,39.97081
204820,29.697987,70.302017,48.732624
204910,27.06422,72.935783,43.296921
204920,38.709679,61.290321,44.630352
