Area,LA_Crimes
101110,11.401327
101122,13.673656
101210,15.980959
101220,18.263268
101300,10.204082
101400,11.438306
102103,18.378378
102104,10.916404
102105,8.2389288
102107,15.005087
103101,8.2201576
103102,16.855087
103200,19.050642
103300,15.487397
103400,11.565035
104103,12.440906
104105,6.8504882
104108,23.794996
104124,15.10223
104201,14.347202
104203,17.398508
104204,31.43535
104310,14.734393
104320,32.512684
104401,18.608414
104403,20.212402
104404,27.08559
104500,26.255333
104610,18.906942
104620,18.99474
104701,29.118774
104703,15.425298
104704,11.71435
104810,15.86754
104821,28.327749
104822,11.664075
106010,25.743898
106020,16.722408
106111,19.310631
106112,17.806623
106113,12.156295
106114,24.468445
106403,25.893612
106405,18.039215
106406,18.380346
106407,12.452438
106408,15.353122
106510,16.50165
106520,14.725796
106603,14.127764
106604,36.222511
106641,14.452214
106642,17.241379
106643,13.885966
106645,15.877771
106646,12.198428
106648,25.037556
106649,10.538201
107010,21.822849
107020,15.498288
108101,7.9398246
108102,8.6346464
108103,10.583611
108104,4.5592704
108201,11.289771
108202,8.8360758
109100,44.284634
109200,13.929619
109300,16.194332
109400,13.481829
109601,18.291458
109603,15.169757
109604,29.088558
109700,18.050541
109800,11.431893
111100,23.198267
111201,20.962503
111202,22.162645
111204,8.9011164
111205,16.290728
111206,17.274067
111301,23.165051
111302,15.655578
111400,14.976958
113101,22.106632
113102,16.909815
113211,18.43318
113212,20.693853
113213,22.061943
113231,18.303572
113232,22.592674
113233,22.701185
113234,18.610691
113235,41.739132
113237,22.323572
113301,70.309189
113303,24.964336
113321,26.695141
113322,16.514227
113401,32.482597
113421,19.69302
113422,24.481266
115101,17.570959
115103,16.133764
115104,9.9444962
115201,11.528672
115202,35.307018
115301,11.916343
115302,24.915062
115401,17.716864
115403,18.857143
115404,43.4333
117101,11.730206
117102,15.195369
117201,45.327606
117202,19.559902
117301,15.717599
117302,16.60079
117303,17.255325
117404,23.350012
117405,19.90571
117407,22.251656
117408,38.973385
117510,29.381966
117520,27.694611
117530,16.212004
119001,10.403451
119002,18.613243
119201,19.919313
119202,19.479048
119310,23.987619
119320,11.147812
119340,17.007706
119341,23.698383
119342,8.3863506
119400,16.223114
119700,23.460411
119800,10.032413
119900,15.163148
120010,31.552528
120020,16.590626
120030,51.17017
120103,21.419828
120104,56.259315
120105,27.129122
120106,25.772099
120107,22.38806
120108,38.500923
120300,13.75737
120400,13.673265
121010,23.320496
121020,19.518717
121101,13.324873
121102,46.77914
121210,29.990627
121221,15.190972
121222,12.211669
121600,16.393442
121801,19.572418
121802,44.16404
121900,17.840376
122000,26.860842
122120,10.658307
122121,9.6982756
122122,41.752789
122200,16.526947
122410,32.442253
122420,17.668606
123010,20.069204
123020,19.425676
123103,34.303288
123104,20.304569
123203,34.87429
123204,20.493021
123205,23.212971
123206,18.776077
123301,20.893532
123303,7.9608083
123304,24.021353
123410,24.242424
123420,33.287102
123510,25.984409
123520,37.599998
123601,29.36747
123602,9.2050209
123700,26.337006
123800,26.611895
123901,49.225792
123902,21.683205
124000,13.351659
124102,34.722221
124103,36.314117
124104,33.736706
124105,6.6815143
124201,41.399231
124203,31.563313
124204,27.768808
124300,29.22423
124400,14.051522
124500,24.992189
124600,17.585693
124700,20.725389
124902,26.394922
124903,16.505762
125100,22.842226
125200,35.23534
125310,34.723648
125320,27.797834
125401,41.167274
125402,22.332506
125501,32.297379
125502,21.450748
125600,18.044481
127102,32.307991
127103,9.5722408
127104,40.463917
127210,35.066914
127220,22.959183
127300,38.411175
127400,31.871201
127520,29.98992
127603,5.294507
127604,25.521208
127605,21.84466
127606,12.001043
127711,75.461601
127712,15.608741
127803,24.795437
127804,11.314396
127805,24.38447
127806,48.091839
127910,29.056162
127920,18.68926
128101,20.235579
128102,56.615913
128210,64.711273
128220,14.563107
128302,22.106882
128303,32.323822
128400,29.179623
128500,34.878487
128601,24.726477
128602,16.430412
128702,28.624979
128801,30.495169
128802,21.76643
128910,18.577366
131010,21.876982
131020,28.977777
131100,10.180337
131200,16.515545
131300,10.541253
131400,14.863353
131600,23.08992
131701,11.175682
131702,22.963367
131800,24.695652
131900,19.762007
132001,14.527845
132002,11.416862
132101,10.362695
132102,19.159225
132300,18.132612
132501,19.159912
132502,7.5662041
132700,18.152115
132900,19.607843
133000,12.150141
133100,16.879091
134001,30.195381
134002,16.346153
134101,17.021276
134103,14.798206
134104,23.40169
134201,23.792358
134302,12.714064
134303,20.155294
134304,23.896448
134305,13.327507
134306,15.821058
134421,10.840109
134422,14.019628
134423,13.025459
134424,6.2385321
134520,36.948528
134521,15.686275
134522,25.734339
134710,17.561464
134720,29.635727
134800,16.073658
134901,16.568047
134903,19.68504
134904,31.610422
134905,30.521164
135102,13.972537
135111,56.165268
135113,48.498844
135114,21.808172
135201,30.54258
135202,12.050833
135203,13.803472
137000,15.843235
137103,14.031414
137104,35.51532
137201,19.513865
137301,10.984182
