Area,Divorced_Separated,Married,Never_Married,Widowed
408722,12,51,32,5
408723,10,53,32,6
408724,10,38,49,3
408800,11,35,51,3
430002,11,43,39,7
430003,9,58,27,6
430101,18,33,34,16
430102,11,47,35,7
430200,7,57,20,16
430301,11,63,22,4
430302,15,46,32,6
430400,6,61,26,8
430501,10,59,25,6
430502,12,60,25,4
430600,5,64,24,6
430701,5,65,25,5
430721,12,55,25,8
430723,8,61,27,4
430724,10,55,27,8
430801,11,51,36,2
430802,8,59,28,6
430803,5,55,32,7
430901,14,48,33,5
430902,12,45,38,5
431001,16,36,47,2
431002,12,46,35,8
431100,6,49,38,7
431200,10,45,42,3
431300,8,49,38,5
431400,6,54,35,4
431501,9,53,30,8
431502,8,56,28,7
431600,4,60,28,8
431700,7,55,28,10
431800,11,49,32,8
431900,12,50,32,7
432000,8,58,26,9
432101,6,54,35,6
432102,5,58,31,5
432201,9,52,28,10
432202,7,53,36,4
432300,11,45,38,5
432401,11,42,40,6
432402,10,45,39,5
432500,10,47,34,8
432601,6,43,46,5
432602,9,45,39,6
432700,6,49,42,4
432801,8,46,37,9
432802,9,47,38,6
432901,6,47,42,5
432902,7,49,36,7
433101,8,50,35,7
433102,9,39,46,6
433200,10,44,39,7
433302,7,50,38,5
433304,7,47,40,6
433305,7,45,46,2
433306,7,50,38,5
433307,9,48,36,7
433401,8,40,47,5
433402,10,41,42,8
433403,10,46,39,5
433501,11,30,50,9
433503,12,39,42,6
433504,14,45,36,5
433601,9,49,35,8
433602,12,47,34,7
433700,8,44,39,9
433801,10,40,44,5
433802,11,42,40,7
433901,9,41,46,4
433902,12,44,39,5
434001,8,40,49,3
434003,12,40,41,7
434004,8,44,42,6
460000,7,61,24,8
460100,12,56,28,4
460200,11,42,40,6
460301,12,56,25,7
460302,12,37,44,7
460401,11,51,33,5
460501,4,64,27,5
460502,6,60,31,3
460600,8,61,25,6
460700,5,60,31,4
460800,5,73,16,6
460900,13,35,44,8
461000,12,35,50,4
461100,10,45,43,2
461200,10,51,33,6
461300,11,54,27,8
461400,8,47,37,8
461501,17,36,43,4
461502,15,35,42,8
461600,14,36,44,6
461700,10,49,31,10
461901,13,30,55,1
461902,19,26,47,8
462001,12,41,45,2
462002,17,32,44,8
462100,16,40,39,5
462201,14,24,44,18
462202,10,43,42,5
462301,5,35,56,4
462302,15,31,49,4
462400,9,46,38,7
462500,9,58,26,6
462600,13,59,24,4
462700,10,43,41,5
462800,16,44,35,5
462900,11,60,24,4
463000,5,61,26,7
463101,11,49,37,4
463102,12,58,25,5
463200,15,50,30,5
463300,10,51,36,4
463400,13,39,42,6
463500,7,35,53,5
463601,19,30,47,4
463602,10,37,47,5
463700,17,46,34,3
463800,11,64,22,3
463900,16,51,23,10
464000,6,60,31,3
464100,7,65,23,5
464200,2,66,24,8
480002,7,59,25,9
480011,9,50,35,6
480012,9,56,31,4
480101,8,51,37,5
480102,7,57,28,8
480201,11,60,20,9
480202,7,59,26,7
480302,10,44,42,4
480303,12,43,41,4
480304,15,37,42,7
480400,12,39,44,5
480500,13,53,30,4
480600,14,43,40,4
480702,10,58,25,7
480703,13,51,34,2
480704,13,48,35,3
480802,7,54,31,8
480803,7,44,43,6
480804,10,47,40,4
480901,12,42,40,6
480902,12,47,37,4
480903,11,45,37,8
481001,7,47,32,14
481002,13,46,36,5
481101,12,39,41,8
481102,15,47,32,5
481103,7,45,41,6
481201,9,50,33,7
481202,5,52,36,6
481300,8,51,35,6
481401,6,57,34,3
481402,7,46,38,9
481500,7,55,30,8
481603,12,53,34,2
481604,6,45,42,7
481605,8,45,42,5
481606,7,54,34,6
481711,8,43,36,13
481712,9,48,36,7
481713,5,48,38,9
481714,11,49,28,12
481800,10,50,32,7
481901,9,48,39,5
481902,11,44,41,4
482001,8,66,20,7
482002,3,57,34,6
482101,11,44,38,7
482102,10,50,33,6
482201,8,48,38,5
482202,11,51,32,6
482301,7,53,37,3
482303,8,48,38,6
482304,8,44,44,5
482401,8,45,43,4
482402,6,50,37,8
482502,8,47,40,5
482503,6,55,34,6
482521,10,52,29,9
482522,13,41,38,8
482600,9,52,31,8
482701,10,46,39,5
482702,10,49,36,6
482800,5,53,36,6
500100,5,66,23,7
500201,12,56,26,6
500202,5,59,32,4
500300,15,47,32,5
500402,13,38,43,6
500403,11,42,39,8
500404,7,48,42,3
500500,11,44,39,7
500600,13,38,44,4
500700,12,44,37,7
500800,13,44,39,3
500900,9,45,41,5
501001,10,45,43,3
501002,11,48,37,5
501200,10,41,40,8
501300,17,38,40,5
501400,12,35,45,7
501501,13,50,33,4
501503,13,36,47,5
501504,20,34,39,7
501600,7,42,48,3
501700,7,51,36,6
501802,12,46,38,4
501803,15,32,50,3
501804,12,37,44,8
501900,8,55,33,5
502003,8,43,45,4
502004,10,44,42,5
502005,10,47,36,7
502100,13,39,38,10
502200,13,44,38,5
502301,10,40,45,5
502302,10,36,48,6
502401,9,46,40,5
502402,8,47,39,7
502500,12,44,38,7
502601,9,46,40,5
502602,14,40,42,4
502700,14,38,40,9
502801,9,50,37,4
502802,25,32,33,11
502901,12,45,38,6
502902,7,43,45,5
503000,9,42,45,4
503103,8,48,41,3
503104,12,53,34,2
503105,8,45,41,6
503106,13,43,35,9
503201,10,46,38,6
503202,10,42,40,7
503301,12,51,32,6
503302,9,52,37,2
503401,10,48,35,7
503402,7,54,33,6
503501,13,45,38,3
503502,14,41,38,6
503601,10,47,35,7
503602,9,55,28,8
503701,12,47,35,6
503702,7,53,33,7
503703,9,60,26,6
503801,9,55,32,4
503802,11,50,36,3
503901,6,54,29,10
503902,7,57,31,5
504001,3,30,62,6
504002,10,51,34,5
504101,8,46,40,6
504102,,,,
530003,7,49,35,10
530004,10,41,42,7
530005,8,50,30,11
530006,10,39,42,9
530101,8,42,44,5
530102,14,31,41,14
530202,13,41,41,5
530203,18,34,43,5
530204,9,44,44,3
530301,9,31,55,4
530302,10,38,46,6
530400,8,37,49,6
530500,17,32,47,3
530601,9,34,52,5
530602,11,40,45,4
530700,7,37,49,6
530801,10,39,45,6
530802,11,38,46,5
530901,8,47,40,5
530902,12,35,47,6
531000,7,47,44,2
531101,10,41,44,5
531102,12,40,37,10
531201,10,35,51,3
531202,10,43,41,6
531301,9,38,48,4
531302,6,39,51,3
531502,8,34,54,4
531503,7,47,41,6
531504,10,35,50,5
531602,9,42,44,4
531603,11,32,51,6
531604,5,36,54,5
531701,7,40,47,6
531702,11,32,50,7
531800,11,30,52,6
531901,6,45,43,6
531902,7,46,42,6
532001,12,40,38,9
532002,10,27,54,8
532101,12,40,43,4
532102,10,41,43,6
532200,15,30,50,5
532302,9,43,41,7
532303,11,40,42,8
532304,16,34,46,4
532400,13,58,26,3
532500,13,34,50,4
532603,7,38,52,4
532604,7,36,54,3
532605,11,34,49,6
532606,9,41,47,3
532700,10,45,43,3
532800,11,40,47,2
532900,11,33,53,3
533001,10,35,52,3
533002,12,37,47,5
533103,9,36,51,5
533104,12,33,48,7
533105,14,41,42,3
533106,5,38,53,4
533107,12,38,45,5
533201,9,43,45,3
533202,6,46,45,4
533203,10,39,47,3
533300,8,42,48,2
533401,7,41,50,2
533402,10,38,49,2
533403,10,30,53,7
533501,11,38,48,3
533502,6,52,38,4
533503,7,38,51,5
533601,11,35,51,3
533602,9,40,48,3
533603,10,42,42,6
533701,9,42,45,4
533702,8,38,50,3
533703,7,43,46,4
533803,9,46,37,8
533804,10,49,35,6
533805,8,45,44,3
533806,7,44,42,7
533901,7,40,50,3
533902,9,40,49,3
534001,7,45,44,4
534002,10,34,51,5
534101,8,53,38,1
534102,8,40,51,2
534201,7,38,52,3
534202,6,37,52,5
534203,7,44,45,4
534301,10,39,49,2
534302,5,43,49,2
534403,5,45,46,4
534404,9,41,48,3
534405,8,38,52,2
534406,6,34,58,2
534501,9,39,48,5
534502,6,36,51,7
534700,9,45,43,3
534802,11,35,45,9
534803,10,39,48,3
534804,10,40,46,4
534900,11,42,44,3
535001,6,37,49,7
535002,6,36,54,4
535101,11,39,46,5
535102,7,43,43,7
535200,9,35,53,3
535300,7,46,43,3
535400,5,37,54,4
535501,9,41,47,3
535502,12,42,41,5
535503,11,35,51,3
535603,8,40,49,2
535604,12,38,46,4
535605,10,37,48,5
535606,7,38,50,5
535607,9,48,38,5
535701,9,41,46,4
535702,14,38,46,3
535802,9,42,44,4
535803,11,37,47,5
535804,10,31,56,3
535901,10,41,44,5
535902,6,50,42,3
536000,14,29,50,6
536102,17,44,32,7
536103,7,43,45,5
536104,8,43,46,3
536200,10,45,40,4
540000,8,38,50,3
540101,8,40,48,4
540102,9,40,46,5
540201,10,33,54,3
540202,11,36,47,6
540203,10,34,53,3
540300,8,46,43,3
540400,11,34,54,1
540501,12,34,52,3
540502,11,40,46,3
540600,10,32,51,6
540700,15,31,52,2
540800,14,32,47,7
540901,11,42,39,8
540902,14,31,48,8
541001,15,29,49,7
541002,24,33,32,11
541100,11,36,46,7
541200,14,33,44,9
541300,13,38,44,5
541400,6,43,48,3
541500,10,39,49,2
541603,14,36,48,3
541604,6,36,54,4
541605,11,35,52,3
541606,9,39,44,8
541700,9,41,43,6
541801,8,41,49,2
541802,10,38,46,7
542000,8,37,52,4
542103,9,37,52,3
542104,12,42,43,4
542105,8,38,49,5
542106,9,42,44,4
542200,10,38,50,3
542401,8,37,53,2
542402,11,41,42,6
542501,9,37,50,4
542502,13,35,46,6
542601,6,36,52,6
542602,11,36,48,4
542700,12,33,50,5
542800,15,33,44,8
542900,10,41,45,4
543000,10,42,39,9
543100,11,37,47,6
543201,14,29,49,8
543202,10,41,45,4
543304,13,38,42,8
543305,22,30,36,12
543306,15,39,38,8
543321,15,44,36,5
543322,11,45,37,8
543400,13,43,38,6
543501,12,45,34,9
543502,9,53,34,4
543503,13,44,32,10
543601,9,44,42,6
543602,13,48,32,7
543603,15,43,30,11
543604,9,42,44,6
543701,8,46,42,5
543702,9,48,40,3
543703,11,48,35,6
543801,11,45,36,8
543802,10,37,47,6
543903,13,45,34,7
543905,9,38,48,5
544001,15,39,42,5
544002,10,46,42,2
550000,15,18,64,3
550100,7,53,36,3
550201,12,41,41,6
550202,9,44,41,7
550300,9,46,40,4
550400,10,52,34,5
550500,11,44,37,8
550601,12,45,37,6
550602,8,53,33,6
550700,7,48,38,7
550800,11,45,36,7
550901,19,40,37,3
550902,12,39,45,4
551000,8,52,33,7
551101,9,41,46,4
551102,12,37,49,3
551201,15,48,33,4
551202,13,40,40,7
551300,15,34,42,9
551401,8,49,39,3
551402,9,47,41,3
551501,16,44,37,3
551502,14,42,36,8
551600,0,0,81,19
551700,11,38,45,5
551800,12,42,41,4
551900,9,47,38,6
552001,8,45,40,7
552002,8,45,43,3
552100,15,42,33,10
552200,10,43,45,2
552301,16,41,34,9
552302,19,41,29,10
552400,7,46,40,7
552601,8,43,43,6
552602,12,42,40,5
552700,11,47,38,4
552800,8,50,38,5
552900,9,43,44,5
553000,5,55,36,4
553100,15,40,41,5
553200,11,45,40,4
553300,11,40,43,6
553400,16,41,40,3
553502,14,44,38,4
553503,8,45,43,4
553504,10,47,40,4
553601,12,43,41,5
553602,15,42,41,2
553701,7,45,45,2
553702,6,44,46,3
553801,13,40,43,5
553802,16,40,40,3
553901,7,40,47,5
553902,9,45,43,3
554001,13,46,33,8
554002,11,43,42,5
554101,12,41,41,6
554103,14,48,33,4
554104,8,43,45,3
554105,18,32,48,2
554201,11,48,37,5
554203,10,40,45,4
554204,15,40,40,5
554301,12,46,37,5
554302,14,35,47,3
554403,11,38,45,6
554404,17,42,36,5
554405,14,25,53,7
554406,11,45,37,7
554511,4,60,29,7
554512,6,58,28,7
554513,14,54,26,6
554514,9,54,31,6
554515,7,55,31,8
554516,12,48,32,8
554517,7,58,30,5
554518,5,66,26,3
554519,4,65,24,7
554521,10,49,32,9
554522,7,57,29,7
554600,7,47,41,4
554700,7,44,42,7
554801,9,39,47,5
554802,8,52,32,7
554900,10,52,31,7
555001,11,49,37,3
555002,16,39,42,3
555102,11,47,37,5
555103,16,41,38,5
555104,11,53,31,5
555202,12,52,26,9
555211,8,40,45,7
555212,11,45,41,4
570001,12,52,31,6
570002,9,51,37,4
570003,14,45,36,5
570100,14,34,48,5
570202,11,40,46,3
570203,13,32,47,8
570204,7,30,54,9
570301,19,34,45,2
570303,10,43,45,3
570304,14,33,47,5
570402,11,39,44,5
570403,10,42,45,4
570404,8,37,50,5
570501,10,45,43,2
570502,12,39,44,4
570601,9,38,49,4
570602,7,47,44,2
570603,20,25,51,4
570701,18,41,34,7
570702,12,53,27,8
570800,6,54,33,7
570901,11,53,30,6
570902,13,49,33,4
571000,9,53,32,6
571101,8,56,34,2
571102,14,55,25,5
571200,10,46,39,5
571300,13,43,36,7
571400,12,46,35,6
571502,12,40,41,7
571503,13,45,38,3
571504,13,35,46,6
571600,18,7,68,7
571701,12,40,45,3
571703,9,40,44,7
571704,16,37,42,4
571800,9,60,24,6
571900,18,42,35,5
572001,11,54,31,4
572002,12,42,35,10
572100,13,51,33,4
572201,12,42,41,6
572202,13,42,39,6
572301,9,44,45,3
572302,11,39,47,4
572400,9,34,47,9
572500,18,26,45,10
572600,7,48,41,4
572700,12,40,38,10
572800,15,14,66,4
572900,12,41,44,4
573002,9,29,58,5
573003,20,32,47,1
573004,15,23,60,1
573100,11,47,39,3
573201,11,37,47,6
573202,10,39,47,5
573300,11,30,54,4
573401,12,40,43,6
573402,9,37,51,2
573403,9,52,35,4
573601,11,56,26,7
573700,9,58,26,7
573800,11,55,30,4
573902,11,54,30,5
574000,10,55,30,6
574100,11,55,29,6
574201,6,61,27,6
574202,18,32,40,11
574300,11,44,35,11
574400,10,60,25,6
574500,11,51,27,10
574601,1,0,99,0
574602,10,53,27,9
574700,24,27,41,7
574800,19,36,40,5
574901,11,59,28,1
574902,12,26,61,2
575001,13,36,49,2
575002,15,33,48,4
575101,15,36,46,3
575102,13,31,52,5
575103,13,23,62,2
575201,13,40,44,3
575202,9,43,45,3
575300,10,31,52,7
575401,10,34,54,2
575402,12,33,51,3
575500,0,28,47,25
575801,12,27,59,1
575802,13,32,51,3
575803,23,26,39,12
575901,15,24,59,3
575902,14,21,60,4
576001,19,39,38,4
576200,16,27,54,2
576301,18,31,48,3
576302,16,32,48,5
576401,15,27,52,7
576402,9,34,54,3
576403,13,29,51,7
576501,21,21,52,7
576502,11,22,64,3
576503,12,27,58,3
576601,17,34,46,4
576602,12,33,54,1
576700,20,30,43,7
576801,13,27,57,4
576802,15,30,51,4
576901,11,30,55,4
576903,13,30,56,1
576904,14,35,49,2
577000,15,29,53,3
577100,17,31,48,4
577200,20,31,46,3
577300,16,29,53,2
577400,15,38,44,4
577501,16,47,30,6
577504,23,36,36,4
577602,13,51,31,5
577603,15,50,33,2
577604,22,51,23,4
599000,14,44,36,7
599100,4,49,40,7
600100,14,28,53,5
600201,14,30,51,6
600202,12,20,63,6
600302,12,36,44,8
600303,9,28,61,2
600304,12,35,48,4
600400,14,25,53,8
600501,21,31,43,5
600502,11,47,34,9
600601,18,31,43,8
600602,8,24,66,2
600702,15,34,45,6
600703,18,36,35,12
600704,8,40,44,7
600801,15,35,41,9
600802,23,36,36,4
600902,19,27,51,3
600911,10,44,43,3
600912,11,37,47,6
601001,25,24,31,20
601002,21,30,43,6
601100,12,31,52,5
601202,5,50,42,3
601211,19,27,45,9
601212,10,34,51,5
601301,12,42,40,6
601302,15,36,48,2
601303,21,22,51,6
601401,19,26,50,5
601402,9,41,45,5
601501,5,42,50,4
601502,6,42,49,3
601600,10,40,46,4
601700,11,38,48,2
601801,9,41,47,2
601802,7,45,45,2
601900,10,45,43,2
602002,9,41,46,4
602003,9,45,41,5
602004,12,36,48,5
602103,15,40,42,3
602104,14,30,48,8
602105,11,44,40,4
602106,13,41,44,2
602200,8,41,48,3
602301,11,51,32,6
602302,12,57,26,6
602402,10,49,35,6
602403,15,36,43,5
602404,12,39,45,4
602504,16,24,55,5
602505,14,28,57,1
602506,14,39,44,3
602507,15,33,49,3
602508,14,31,51,4
602509,7,41,49,3
602600,12,40,40,9
602700,14,32,47,7
602801,14,29,54,2
602802,11,34,46,9
602900,13,44,39,5
603001,16,43,35,6
603004,18,46,24,12
603005,17,38,42,3
603006,12,45,38,6
603101,16,40,37,7
603102,12,48,33,7
603200,17,47,25,11
603301,11,49,34,6
603302,16,44,33,7
603400,11,50,34,5
603500,11,48,35,6
603600,10,50,36,4
603702,11,47,35,8
603703,6,49,39,6
603704,14,33,50,4
603801,13,38,46,3
603802,13,40,44,3
603900,14,35,48,3
604001,12,45,37,6
604002,12,42,42,4
604100,11,49,36,3
609900,13,38,42,7
620001,10,46,40,4
620002,16,38,40,7
620101,14,58,26,2
620102,13,47,37,3
620201,14,29,54,2
620301,7,64,25,3
620303,11,62,23,4
620305,10,50,37,3
620400,11,56,28,5
620501,8,54,35,2
620521,15,46,35,3
620522,12,52,33,3
620601,12,54,30,4
620602,12,58,24,6
620701,14,47,35,4
620702,15,57,23,4
620800,7,62,27,4
620901,9,63,23,5
620904,14,55,28,3
621001,10,53,30,8
621002,15,49,34,2
621004,14,38,45,4
621102,9,55,30,5
621104,15,33,49,2
621201,16,48,33,3
621204,17,36,41,6
621301,12,58,27,3
621324,14,44,39,3
621326,19,41,37,3
621400,15,49,32,4
650001,11,49,34,6
650003,17,40,38,5
650004,13,46,37,4
650101,5,65,24,6
650102,15,50,32,2
650200,10,51,34,5
650300,11,45,36,8
650401,9,53,31,6
650501,11,59,25,5
650502,6,60,27,7
650602,13,48,33,6
650603,8,57,26,8
650604,11,38,44,6
650605,8,65,24,3
650701,6,62,20,12
650702,7,61,28,3
650800,14,61,20,4
650901,17,39,36,8
650902,10,48,37,6
651001,10,53,31,7
651002,7,58,29,7
651101,8,60,22,10
651102,12,51,30,8
651201,13,57,25,5
651221,13,50,31,5
651222,12,53,30,5
651302,11,60,19,9
651304,13,52,28,6
651401,12,50,26,12
651402,9,60,27,5
670001,17,48,29,6
670002,14,39,42,5
670003,17,48,29,6
670100,13,44,37,6
670201,9,62,21,7
670202,8,67,20,5
670324,2,71,20,7
670326,7,68,19,6
670328,3,69,24,4
670403,6,62,25,7
670405,6,62,22,10
670406,4,75,15,5
670407,13,58,24,6
670411,6,65,22,7
670413,6,69,19,6
670416,9,65,21,5
670500,6,69,19,6
670602,7,61,23,10
670701,12,60,22,6
670702,9,67,17,7
700101,11,29,52,9
700102,19,23,51,7
700200,12,20,65,3
700300,11,17,68,4
700400,10,25,62,3
700501,11,27,56,5
700502,11,22,65,3
700600,5,59,30,6
700700,3,61,28,7
700801,5,49,34,12
700802,23,33,38,6
700901,9,48,37,6
700902,11,42,42,5
701000,14,48,35,3
701100,24,15,54,7
701201,8,63,24,4
701202,22,34,41,3
701302,12,31,55,2
701304,12,47,35,6
701402,13,25,55,7
701501,17,44,37,3
701502,14,26,54,6
701601,11,56,30,3
701602,15,37,43,5
701701,14,36,45,5
701702,18,22,56,4
701801,12,33,49,7
701802,18,25,54,3
701902,20,22,57,2
702002,16,28,52,3
702102,16,34,45,5
702201,13,33,51,3
702202,12,48,33,7
702300,16,37,42,5
702400,10,50,36,4
702501,9,49,36,6
702502,19,35,39,7
702600,8,55,30,7
702700,9,58,28,6
702801,13,41,41,5
702802,6,47,41,6
702803,11,39,43,6
702901,22,31,42,4
703001,14,34,46,5
703002,15,44,30,10
703100,21,37,34,7
703200,15,48,32,5
800101,11,59,27,3
800102,15,56,26,3
800202,12,60,24,5
800203,12,54,30,4
800204,13,61,21,4
800324,12,58,28,2
800325,16,57,19,9
800326,11,61,23,5
800327,23,33,39,4
800328,11,40,43,7
800329,15,48,32,4
800330,24,48,24,4
800331,14,58,23,6
800332,10,62,25,3
800406,13,48,35,4
800408,15,56,23,6
800410,4,24,72,1
800504,16,42,36,6
800506,15,58,23,4
900102,11,38,41,9
900103,7,47,42,3
900104,10,45,41,4
900201,11,44,38,7
900300,10,41,46,3
900501,11,43,42,4
900504,9,52,37,2
900505,16,46,35,3
900506,14,43,40,3
900507,10,45,41,5
900508,8,50,35,7
900602,10,40,46,4
900605,8,44,44,4
900606,14,33,49,3
900607,11,29,55,5
900608,13,39,44,4
900609,7,48,40,4
900701,15,39,41,5
900703,20,27,47,6
900704,17,28,53,2
900705,16,41,39,5
900803,10,43,44,3
900804,10,34,51,5
900805,17,40,35,8
900806,21,28,44,7
900900,13,56,25,6
901003,20,16,62,1
901004,11,48,35,6
901007,3,63,29,4
901008,11,48,39,3
901009,10,53,32,4
901010,10,44,41,5
901011,15,44,33,8
901101,10,49,35,6
901102,11,51,34,4
901205,13,52,31,4
901209,13,51,33,4
901210,10,60,26,4
901213,11,63,21,4
910001,13,46,38,4
910002,12,40,42,7
910101,11,48,39,2
910201,13,39,40,9
910202,9,57,28,6
910205,7,67,21,4
910206,10,52,33,5
910207,13,52,32,3
910208,10,47,37,5
910209,9,59,30,3
910210,10,61,27,2
910301,6,59,28,7
910302,14,53,27,6
910401,16,49,33,3
910402,12,34,52,2
910403,11,36,50,3
910404,6,51,38,5
910501,15,24,56,5
910502,15,28,50,7
910504,9,43,44,3
910505,11,50,37,2
910601,13,40,42,6
910602,22,33,41,4
910603,14,41,42,3
910605,11,45,38,6
910606,11,46,40,4
910705,12,43,42,3
910706,8,49,39,4
910707,13,36,48,4
910709,11,50,35,4
910711,11,41,45,3
910712,12,44,41,3
910713,11,54,31,4
910714,15,35,43,7
910715,7,41,48,4
910716,13,46,36,5
910804,9,58,28,5
910805,12,58,27,3
910807,13,52,32,3
910808,11,53,30,6
910809,10,60,24,6
910810,7,59,30,4
910811,9,52,39,0
910812,10,60,19,11
910813,8,69,20,3
911001,12,58,19,11
920011,29,26,45,0
920012,16,44,31,10
920013,12,60,23,4
920015,11,61,26,2
920016,5,65,26,3
920017,12,49,34,5
920018,10,55,31,4
920020,9,56,32,4
920023,15,38,45,3
920026,8,36,54,2
920028,11,56,30,3
920029,15,50,32,3
920030,12,49,37,3
920031,14,49,21,15
920032,4,60,33,3
920033,13,36,45,7
920034,8,49,40,3
920035,11,45,42,2
920036,11,46,39,4
920037,21,29,47,3
920038,15,39,42,4
920039,11,50,36,3
920040,7,56,33,4
920041,16,46,36,2
920042,17,40,35,7
920043,7,70,21,2
920044,7,60,31,3
920045,7,61,30,2
920102,14,50,33,3
920104,10,51,35,4
920106,15,44,40,2
920107,4,72,21,3
920108,10,68,21,1
920109,10,62,23,5
920110,11,52,34,3
920111,6,59,30,5
920112,11,56,27,5
920114,10,58,31,1
920115,11,58,27,5
920116,11,57,28,4
920118,12,55,31,2
920119,5,67,26,2
920200,14,11,75,0
920303,11,50,35,4
920312,14,47,32,7
920313,11,53,30,6
920314,9,57,30,4
920322,7,57,29,7
920326,17,50,29,4
920328,9,55,33,3
920329,16,47,35,3
920330,16,51,28,5
920331,15,46,32,7
920332,8,30,58,5
920334,8,44,41,7
920336,12,51,35,2
920337,8,44,47,2
920338,5,63,27,5
920339,6,61,30,3
930101,6,58,36,0
930200,23,41,31,5
930301,12,33,53,2
980001,,,,
980002,,,,
980003,,,,
980004,,,,
980005,,,,
980006,,,,
980007,,,,
980008,29,4,47,20
980009,,,,
980010,9,36,44,10
980013,,,,
980014,0,0,100,0
980015,12,10,66,12
980018,,,,
980019,11,70,19,0
980020,,,,
980021,,,,
980022,,,,
980023,,,,
980024,5,72,23,0
980025,,,,
980026,0,36,64,0
980028,,,,
980030,,,,
980031,30,33,35,3
980033,,,,
990300,,,,
