Area,Divorced_Separated,Married,Never_Married,Widowed
134710,11,36,50,3
134720,12,44,40,4
134800,7,52,38,3
134901,14,53,29,4
134903,9,39,49,3
134904,14,41,44,2
134905,19,30,47,4
135102,15,46,33,6
135111,13,52,30,5
135113,19,40,35,6
135114,16,44,36,4
135201,16,52,25,6
135202,10,48,36,5
135203,12,53,30,6
137000,11,58,24,6
137103,24,34,36,6
137104,15,45,35,6
137201,20,45,31,5
137301,8,61,28,3
137302,9,56,28,7
137401,19,51,25,5
137402,14,48,27,11
137501,8,52,36,4
137502,16,51,25,8
137504,11,54,30,5
138000,14,54,30,3
139001,13,56,27,4
139200,16,43,38,3
139301,13,51,29,6
139302,20,33,43,4
139303,17,31,46,6
139401,20,40,33,6
139402,7,60,27,5
139502,10,64,20,6
139503,15,38,42,5
139504,21,44,28,7
139600,16,52,26,6
139701,8,57,27,9
139702,9,68,19,5
139703,4,70,22,4
139801,4,68,19,9
139802,9,60,23,7
141101,9,42,44,5
141102,18,53,25,4
141201,11,44,43,3
141202,23,41,31,5
141302,15,36,44,6
141303,19,43,34,4
141304,17,44,31,7
141400,14,48,29,9
141500,9,60,22,9
141600,12,58,26,5
141700,11,58,27,4
143100,13,35,46,6
143200,14,33,52,1
143300,13,41,41,4
143400,16,39,39,6
143500,14,42,40,4
143602,15,41,40,4
143603,9,35,55,1
143604,13,26,60,2
143700,8,44,45,3
143800,12,48,37,4
143901,14,57,25,4
143902,13,45,36,6
181000,8,49,37,6
181300,10,49,35,6
181400,14,38,41,8
181500,15,40,35,11
181600,8,27,62,3
183101,8,45,43,5
183103,10,38,50,3
183104,12,47,34,7
183220,10,42,44,4
183221,16,39,43,3
183222,14,40,38,7
183300,8,40,46,5
183401,8,33,53,6
183402,12,38,44,5
183510,6,42,47,5
183520,11,31,54,4
183610,14,29,54,3
183620,10,42,46,2
183701,18,27,50,4
183702,13,45,36,6
183810,9,37,52,1
183820,10,39,45,5
185100,9,49,38,5
185202,15,36,48,1
185203,12,34,51,3
185204,11,50,31,9
185310,10,40,45,5
185320,9,37,48,5
186100,12,49,35,4
186201,11,39,40,11
186202,8,53,34,5
186203,7,50,37,6
186301,13,29,53,4
186302,12,44,40,4
186401,13,33,51,4
186403,14,40,42,4
186404,8,42,44,5
187101,7,37,47,9
187102,11,43,41,6
187200,11,43,42,5
187300,12,42,44,2
188100,11,44,41,5
188201,12,32,54,2
188202,11,43,40,6
188300,10,46,38,7
189101,12,28,54,6
189102,14,25,58,4
189201,9,25,61,5
189202,6,36,50,8
189300,11,51,33,6
189400,11,36,50,3
189500,13,24,62,2
189600,12,22,64,2
189701,14,41,41,4
189702,10,26,59,5
189800,14,24,59,4
189902,12,16,62,10
189903,14,22,61,3
189904,9,24,67,0
189905,11,29,55,5
190100,12,17,67,4
190201,6,16,70,8
190202,16,12,66,6
190301,13,23,59,5
190401,11,31,52,5
190402,11,34,49,6
190510,9,37,49,4
190520,10,38,46,6
190700,15,9,69,7
190801,11,22,59,8
190802,11,27,57,5
190901,13,29,53,5
190902,14,28,56,3
191000,11,25,60,4
191110,17,39,32,11
191120,10,38,46,6
191201,15,38,39,7
191203,12,34,49,5
191204,13,41,42,4
191301,9,35,51,6
191302,16,30,51,3
191410,9,33,54,4
191420,17,34,46,3
191500,11,42,43,5
191610,10,28,58,4
191620,13,23,54,10
191710,9,32,55,5
191720,10,41,47,2
191810,11,34,55,1
191820,10,29,57,3
191901,11,20,67,2
191902,15,37,43,5
192001,18,27,44,10
192002,17,27,52,4
192300,10,34,51,4
192410,7,38,52,4
192420,6,46,46,2
192510,13,44,40,4
192520,9,37,52,3
192610,10,42,46,2
192620,12,34,53,0
192700,14,19,65,3
194101,8,29,59,4
194102,10,42,44,3
194200,11,44,41,4
194300,15,36,42,7
194401,10,27,58,5
194402,7,22,69,2
194500,14,38,39,10
195100,8,47,42,4
195201,12,31,54,3
195202,6,49,38,6
195300,13,27,55,6
195400,11,33,55,2
195500,12,32,50,5
195600,8,36,53,3
195710,11,33,51,5
195720,14,29,53,4
195802,9,38,48,5
195803,11,33,51,5
195804,16,25,55,4
195901,5,23,67,6
195902,7,31,60,2
195903,10,38,50,3
197200,10,41,41,8
197300,8,29,57,6
197410,10,37,49,4
197420,12,33,52,3
197500,13,28,56,3
197600,11,31,53,4
197700,8,38,51,3
199000,8,42,46,4
199110,12,36,44,8
199120,7,42,43,8
199201,13,33,49,6
199202,9,45,41,5
199300,9,36,47,7
199400,10,38,47,4
199700,9,34,51,6
199800,8,44,39,9
199900,13,37,44,6
201110,12,38,42,8
201120,18,36,43,4
201200,8,50,39,3
201301,12,39,46,3
201302,18,37,38,7
201401,13,38,46,3
201402,10,38,42,9
201501,15,36,44,5
201503,12,34,51,3
201504,12,42,40,6
201601,10,34,45,10
201602,11,39,45,4
201700,9,32,56,3
203100,7,31,55,6
203200,9,39,48,4
203300,7,18,71,4
203500,16,30,48,6
203600,15,32,48,5
203710,11,32,52,6
203720,4,45,47,4
203800,11,43,41,5
203900,9,41,44,6
204110,6,42,48,4
204120,11,42,42,4
204200,10,33,52,4
204300,9,37,47,8
204410,12,30,53,5
204420,12,33,50,6
204600,7,44,47,2
204700,6,46,44,4
204810,11,36,49,5
204820,8,43,45,4
204910,10,44,43,4
204920,7,42,45,6
205110,8,38,50,4
205120,9,34,52,6
206010,9,40,46,5
206020,13,11,74,1
206031,11,34,53,3
206032,11,33,47,9
206050,11,33,47,9
206200,22,17,48,13
206300,19,3,71,6
207101,5,41,48,5
207102,7,52,28,13
207103,5,51,33,11
207301,17,18,62,3
207302,15,17,63,5
207400,24,32,40,3
207501,7,29,56,8
207502,12,36,29,23
207710,11,24,59,6
207900,7,39,52,2
208000,12,24,62,2
208301,9,25,65,1
208302,12,34,51,3
208401,7,38,48,6
208402,10,36,48,5
208501,18,31,44,7
208502,17,34,44,6
208610,9,39,46,7
208620,12,36,46,6
208710,10,39,46,5
208720,9,28,61,1
208801,8,28,59,5
208802,11,31,50,9
208902,7,34,58,2
208903,8,23,66,3
208904,9,32,52,6
209102,12,34,49,5
209103,7,24,67,2
209104,11,32,54,3
209200,7,26,63,3
209300,10,26,62,2
209401,10,25,57,8
209402,7,22,69,2
209403,9,22,60,9
209510,9,35,51,5
209520,10,28,60,1
209810,13,18,62,8
209820,12,32,54,3
210010,10,37,46,7
211000,11,60,23,5
211120,9,42,45,4
211121,12,39,45,4
211122,13,40,42,5
211201,10,32,57,1
211202,8,34,55,3
211310,9,43,47,1
211320,6,31,59,3
211410,14,41,39,6
211420,10,37,49,3
211500,12,48,36,4
211701,9,61,26,4
211703,12,34,50,4
211704,14,26,52,7
211802,16,38,44,2
211803,9,45,42,4
211804,9,43,46,3
211910,12,27,59,3
211921,9,39,50,3
211922,9,40,50,1
212101,8,31,57,4
212102,16,23,53,8
212202,9,25,61,5
212203,9,26,60,5
212204,5,33,57,5
212303,15,26,58,1
212304,7,24,62,6
212305,15,27,54,4
212306,12,44,39,5
212410,16,31,49,4
212420,10,33,54,3
212501,9,27,62,2
212502,11,35,51,3
212610,10,42,45,3
212620,13,37,45,5
212701,12,40,36,12
212702,14,42,38,6
212800,12,44,41,2
212900,12,36,48,4
213100,9,41,46,4
213201,10,42,44,5
213202,8,44,41,6
213310,12,35,42,11
213320,14,37,43,7
213401,11,36,50,3
213402,13,34,50,3
214000,7,51,35,7
214100,12,49,33,5
214400,8,32,60,1
214501,11,36,49,5
214502,5,34,58,3
214503,18,38,40,4
214600,14,37,44,6
214700,14,33,48,5
214800,12,24,59,4
214901,22,19,53,6
214902,12,35,51,2
215101,14,16,68,2
215102,8,24,65,3
216100,12,51,32,6
216200,17,26,56,1
216300,14,41,42,3
216401,6,39,50,6
216402,9,34,46,10
216700,12,31,51,6
216800,12,44,43,2
216900,13,44,34,9
217001,11,54,30,5
217002,18,34,43,6
217100,13,38,46,3
217200,15,34,47,4
218110,13,37,47,3
218120,7,38,50,4
218210,13,33,52,2
218220,10,41,42,6
218300,16,31,48,6
218400,13,38,45,4
218500,17,35,44,5
218600,9,35,51,5
218701,20,29,44,7
218702,20,25,51,4
218800,16,29,48,6
218900,12,28,57,2
219010,11,34,46,8
219020,14,37,45,4
219300,13,28,56,3
219500,16,38,36,10
219700,13,36,48,4
219800,11,40,44,5
219901,11,38,46,4
219902,7,41,48,3
220000,16,28,51,4
220100,18,29,45,8
221110,12,25,59,3
221120,12,32,50,6
221210,9,37,49,5
221220,11,38,47,4
221302,11,28,59,3
221303,11,31,53,5
221304,16,36,45,3
221401,15,25,46,14
221402,12,35,47,6
221500,14,24,54,8
221601,10,38,49,3
221602,8,36,53,3
221710,9,35,51,5
221810,7,18,73,2
221820,3,11,86,0
221900,3,13,80,4
222001,14,40,43,3
222002,12,36,46,6
222100,15,30,50,5
222200,6,33,59,3
222500,10,40,48,3
222600,5,27,65,3
222700,0,1,99,0
224010,20,15,59,6
224020,10,20,67,3
224200,6,29,62,4
224310,11,31,52,6
224320,5,29,61,5
224410,4,24,70,1
224420,10,22,65,4
224600,10,32,56,2
224700,1,3,96,0
226001,8,44,44,4
226002,13,19,66,2
226410,7,33,56,4
226420,6,38,54,2
226700,8,28,63,2
227010,10,35,53,2
227020,6,37,56,1
228100,8,38,52,1
228210,7,28,61,4
228220,5,27,65,2
228310,6,32,60,2
228320,7,29,61,2
228410,8,32,60,0
228420,8,32,60,0
228500,5,26,68,1
228600,4,33,60,3
228710,8,29,61,2
228720,6,29,63,2
228800,5,35,55,5
228900,7,30,62,1
229100,6,35,56,2
229200,10,35,48,7
229300,3,28,66,3
229410,8,33,57,2
229420,7,29,61,3
231100,13,21,64,2
231210,14,30,52,4
231220,14,29,55,3
231300,14,23,59,4
231400,15,34,46,5
231500,13,35,45,7
231600,8,31,57,3
231710,11,26,60,4
231720,8,31,59,2
231800,10,33,52,5
231900,10,32,53,5
232110,9,29,58,4
232120,10,32,53,5
232200,13,27,55,6
232300,6,30,57,6
232400,9,32,52,6
232500,12,30,51,6
232600,10,31,54,5
232700,8,34,55,4
232800,10,31,54,4
234000,13,33,47,7
234200,17,35,38,10
234300,21,26,50,4
234501,14,34,42,10
234502,15,30,44,11
234600,11,30,51,7
234700,16,30,48,6
234800,11,30,48,11
234901,16,26,52,5
234902,17,29,49,5
235100,15,31,47,6
235201,10,30,54,6
235202,11,30,53,6
236000,15,37,43,5
236100,22,23,47,8
236202,13,28,52,6
236203,18,22,52,7
236204,13,22,61,4
236400,18,34,42,6
237101,12,35,48,4
237102,12,29,53,6
237201,10,35,50,5
237202,8,36,50,6
237300,15,35,44,6
237401,10,36,49,4
237402,11,31,50,8
237500,12,35,51,1
237600,8,36,53,4
237710,9,33,53,4
237720,13,25,59,3
237800,11,36,49,5
237900,15,32,47,5
238000,17,24,46,13
238100,20,27,47,6
238200,14,37,41,8
238310,11,27,55,7
238320,12,32,54,2
238400,20,31,40,9
239201,10,30,56,5
239202,4,33,60,3
239310,8,34,53,4
239320,6,35,55,4
239330,7,35,55,3
239501,8,33,54,4
239502,12,32,52,5
239601,9,38,50,2
239602,8,28,61,3
239701,11,34,52,3
239702,14,23,57,6
239801,10,37,49,4
239802,16,32,51,1
240010,10,33,54,3
240020,8,36,52,4
240200,13,33,47,6
240300,11,39,45,5
240401,12,28,57,3
240402,15,33,45,7
240500,8,34,56,2
240600,10,31,54,6
240700,14,30,47,9
240800,7,29,60,4
240900,13,36,49,3
