Area,Total_Population
206020,7579
206031,3124
206032,5133
206050,2278
206200,3294
206300,5514
207101,3137
207102,2239
207103,2253
207301,4686
207302,4243
207400,991
207501,2128
207502,2504
207710,3197
207900,4627
208000,7197
208301,2213
208302,4417
208401,4403
208402,2850
208501,2529
208502,3589
208610,4261
208620,4530
208710,4334
208720,4574
208801,3252
208802,3059
208902,2572
208903,3883
208904,3632
209102,4787
209103,3610
209104,2431
209200,3276
209300,4276
209401,4108
209402,3695
209403,3589
209510,2680
209520,2559
209810,2773
209820,3020
210010,3570
211000,4676
211120,5174
211121,2330
211122,3127
211201,3013
211202,2607
211310,4296
211320,3305
211410,2716
211420,3356
211500,4694
211701,3008
211703,4989
211704,2931
211802,4213
211803,3795
211804,3095
211910,4749
211921,2202
211922,3694
212101,2875
212102,2315
212202,3704
212203,3059
212204,3666
212303,3268
212304,1867
212305,3030
212306,3086
212410,4135
212420,3354
212501,2158
212502,2790
212610,3871
212620,4609
212701,2496
212702,3756
212800,4103
212900,4906
213100,2902
213201,4554
213202,3987
213310,3827
213320,2151
213401,5616
213402,4558
214000,3853
214100,4257
214400,3028
214501,2947
214502,4958
214503,3339
214600,2767
214700,2590
214800,3021
214901,2974
214902,2869
215101,2626
215102,3173
216100,2801
216200,4797
216300,5053
216401,4686
216402,3076
216700,3973
216800,3288
216900,5178
217001,2778
217002,5360
217100,5685
217200,3997
218110,3476
218120,5124
218210,3991
218220,4592
218300,5781
218400,4290
218500,2819
218600,3440
218701,2472
218702,2178
218800,2699
218900,5828
219010,2694
219020,4275
219300,4433
219500,1727
219700,4180
219800,3024
219901,4494
219902,4030
220000,5754
220100,2297
221110,3657
221120,3075
221210,3022
221220,3782
221302,5457
221303,2613
221304,3740
221401,3169
221402,2926
221500,3875
221601,3486
221602,3174
221710,2632
221810,2792
221820,3202
221900,3592
222001,3021
222002,4696
222100,3567
222200,4147
222500,5432
222600,5530
222700,3797
224010,2112
224020,2517
224200,2441
224310,2189
224320,3430
224410,3399
224420,2460
224600,3377
224700,6518
226001,2258
226002,1598
226410,3669
226420,5202
226700,6594
227010,4604
227020,3661
228100,5540
228210,3749
228220,4179
228310,4613
228320,2985
228410,3265
228420,3379
228500,4648
228600,4856
228710,3990
228720,4341
228800,5543
228900,3054
229100,4783
229200,4051
229300,5772
229410,3620
229420,4626
231100,3478
231210,3492
231220,4514
231300,5234
231400,4966
231500,4772
231600,6991
231710,4357
231720,5444
231800,4645
231900,5415
232110,2979
232120,5652
232200,2786
232300,4198
232400,6906
232500,5015
232600,6250
232700,6211
232800,4052
234000,5721
234200,2234
234300,3808
234501,2370
234502,2231
234600,5060
234700,3686
234800,3231
234901,2773
234902,3858
235100,4728
235201,2573
235202,4156
236000,4390
236100,5139
236202,5570
236203,3732
236204,2927
236400,4400
237101,3641
237102,2902
237201,3405
237202,4784
237300,5136
237401,3580
237402,3444
237500,2844
237600,3780
237710,3027
237720,2989
237800,3814
237900,3988
238000,5462
238100,4598
238200,5463
238310,4726
238320,3916
238400,5237
239201,3723
239202,5008
239310,4273
239320,3862
239330,3129
239501,3700
239502,3517
239601,3714
239602,3507
239701,4919
239702,3669
239801,3508
239802,4764
240010,3702
240020,5578
240200,5314
240300,4966
240401,5299
240402,3768
240500,6548
240600,5075
240700,6150
240800,4950
240900,5962
241001,4398
241002,4184
241110,3129
241120,5292
241201,2899
241202,4930
241300,2216
241400,3385
242000,4085
242100,2787
242200,5580
242300,4842
242600,4932
242700,5162
243000,6934
243100,6600
261101,3890
261102,4039
261200,3999
262100,3028
262200,4714
262301,2993
262302,3102
262303,2972
262400,3030
262501,4065
262601,3759
262604,6531
262704,3516
262706,3770
262802,3538
264000,3124
264102,2708
264103,2494
264301,5124
264302,5521
265100,2624
265201,2927
265202,3562
265301,11519
265303,4925
265304,3454
265305,4282
265410,1418
265420,2141
265510,4138
265520,4425
265601,2949
265602,2927
265700,5184
267100,6713
267200,5658
267300,4388
267402,4604
267403,3070
267404,3237
267501,6602
267502,3370
267600,2995
267700,3424
267800,2980
267901,2330
267902,3486
269000,5663
269100,4019
269300,4393
269500,4007
269601,3184
269602,2745
269700,3822
269800,3293
269903,3969
269904,4019
269905,3192
269906,2889
269907,2851
270100,4627
270200,3857
270300,2495
271100,2404
271200,2825
271300,4494
271400,3660
271500,3106
271600,4522
271701,5867
271702,4344
271801,3558
271802,6488
271901,3393
271902,3909
272100,4422
272201,2518
272202,3740
272301,3288
272302,4514
273100,2159
273200,3527
273300,3564
273402,2797
273502,2964
273600,2389
273700,2800
273800,3328
273902,3674
274100,4292
274202,4018
275101,1272
275102,3887
275200,4122
275302,4801
275311,5758
275400,3401
275500,5262
275602,7934
275603,2953
276000,5582
276100,6062
276400,4176
276500,5272
276601,4027
276603,5293
276604,4249
277000,5563
277100,3200
277200,2525
277400,1710
278001,2514
278102,3100
291110,3570
291120,2291
291130,3572
291210,5771
291220,3794
291300,2414
292000,6723
293201,6594
293202,6424
293301,2900
293302,5498
293304,4361
293306,2386
293307,2691
294110,4541
294120,2386
294200,5559
294301,2680
294302,5049
294410,4979
294421,3029
294510,4808
294520,3658
294610,4329
294620,4508
294701,3236
294810,4464
294820,3845
294830,3796
294900,3682
295103,4866
296210,2749
296220,4602
296300,4530
296401,3417
296402,3043
296500,4000
296600,5101
296901,4267
296902,3968
297000,5206
297110,5286
297120,3789
297201,3663
297202,3886
297300,2298
297400,3761
297500,5100
297601,2565
297602,4005
300100,5961
300200,5676
300301,6543
300400,5594
300501,3065
300502,6003
300600,8966
300701,6561
300702,5315
300800,7604
300901,6307
300902,2057
301000,4944
301100,6607
301203,4427
301204,5168
301205,2244
301206,5315
301300,2017
301400,3710
