Area,Young_Adults_Enrolled_in_School
189201,38.162544
189202,48.113209
189300,68.75
189400,73.239433
189500,30.666666
189600,8.2417583
189701,46.853146
189702,55
189800,19.718309
189902,24.16268
189903,23.928572
189904,63.793102
189905,73.033707
190100,46.557758
190201,69.803925
190202,66.292137
190301,54.736843
190401,79.268295
190402,48.672565
190510,30.30303
190520,57.086613
190700,13.982301
190801,57.407406
190802,37.728939
190901,31.353136
190902,49.388752
191000,59.538784
191110,24.844721
191120,29.295155
191201,62.094765
191203,26.566416
191204,47.478992
191301,69.832405
191302,38.610039
191410,34.469696
191420,46.474358
191500,43.134716
191610,42.595673
191620,30.930931
191710,40.322582
191720,20.413437
191810,24.903475
191820,24.675325
191901,27.215189
191902,46.153847
192001,18.543047
192002,57.142857
192300,22.84264
192410,45.045044
192420,41.355141
192510,56.880733
192520,22.456814
192610,26.269316
192620,27.792208
192700,33.762886
194101,26.845638
194102,17.93722
194200,54.464287
194300,29.583334
194401,25
194402,24.444445
194500,36.158192
195100,30.882353
195201,17.948717
195202,37.850468
195300,49.859943
195400,36.274509
195500,21.14094
195600,43.693695
195710,39.803093
195720,50.753769
195802,38.545456
195803,35.9375
195804,37.096775
195901,55.395683
195902,57.894737
195903,53.465347
197200,45.79208
197300,43.835617
197410,53.420197
197420,52.429668
197500,39.950981
197600,53.266331
197700,41.793312
199000,40.163933
199110,43.51852
199120,48.534798
199201,34.549877
199202,54.143646
199300,40.298508
199400,19.309261
199700,35.96059
199800,53.186813
199900,40.255592
201110,58.201057
201120,24.358974
201200,26.492537
201301,57.943924
201302,81.21212
201401,60.877514
201402,26.896551
201501,40.051022
201503,50.200802
201504,62.459545
201601,66.412216
201602,48.110832
201700,88.459251
203100,36.942677
203200,54.927006
203300,50.840336
203500,42.424244
203600,27.325581
203710,30.76923
203720,45.050507
203800,44.839256
203900,34.397163
204110,38.834953
204120,36.241611
204200,28.533333
204300,47.694752
204410,41.333332
204420,35.714287
204600,31.228474
204700,50.31847
204810,37.623764
204820,29.482071
204910,20.44335
204920,43.729904
205110,37.181995
205120,44.490646
206010,38.848923
206020,2.8277636
206031,49.677418
206032,30.76923
206050,39.939941
206200,54.210526
206300,2.4000001
207101,50.520832
207102,71.296295
207103,66.310158
207301,21.153847
207302,21.518988
207400,12.621359
207501,58.241756
207502,20.437956
207710,31.428572
207900,60.481586
208000,43.953293
208301,16.115702
208302,29.278351
208401,36.842106
208402,43.28767
208501,58
208502,47.521866
208610,37.979797
208620,72.575249
208710,64.529915
208720,12.368421
208801,5.1948051
208802,24.038462
208902,7.0821528
208903,16.904278
208904,21.033211
209102,22.50423
209103,40.902023
209104,34.645668
209200,58.380413
209300,56
209401,40.636044
209402,17.696629
209403,31.192661
209510,38.053097
209520,25.506073
209810,17.824774
209820,21.451103
210010,32.010582
211000,63.855423
211120,44.322346
211121,31.313131
211122,37.370243
211201,27.046263
211202,23.717949
211310,55.187321
211320,48.670212
211410,59.459461
211420,51.601425
211500,48.580441
211701,68.595039
211703,20.490368
211704,50
211802,70.175438
211803,44.274811
211804,43.886463
211910,47.619049
211921,30.30303
211922,25
212101,39.776951
212102,62.662338
212202,49.494949
212203,47.094803
212204,27.173914
212303,37.637363
212304,18.819189
212305,24.161074
212306,49.576271
212410,31.52174
212420,31.391586
212501,30.456852
212502,29.813665
212610,48.097828
212620,38.297871
212701,20.38835
212702,50
212800,35.040432
212900,32.697548
213100,49.529781
213201,44.258873
213202,43.133049
213310,42.172523
213320,21.674877
213401,28.731943
213402,36.036037
214000,58.47953
214100,22.222221
214400,10.869565
214501,55.06329
214502,73.07692
214503,48.159508
214600,26.262627
214700,28.099174
214800,35.627529
214901,98.75
214902,34.530388
215101,34.507042
215102,57.142857
216100,72.85714
216200,17.174515
216300,33.454544
216401,46.522781
216402,38.888889
216700,44.314869
216800,51.461987
216900,40.366974
217001,69.64286
217002,31.681416
217100,51.096493
217200,13.235294
218110,44.551281
218120,24.910608
218210,15.89404
218220,65.925926
218300,29.756098
218400,39.651417
218500,35.526318
218600,57.117119
218701,51.42857
218702,58.421051
218800,38.46154
218900,52.218933
219010,46.648792
219020,52.777779
219300,39.17379
219500,74.846626
219700,54.545456
219800,27.777779
219901,40.485828
219902,27.760736
220000,58.490566
220100,30.057804
221110,47.314579
221120,37.912086
221210,41.319443
221220,38.853504
221302,34.788361
221303,59.075909
221304,45.325779
221401,41.558441
221402,55.844154
221500,41.894737
221601,38.211384
221602,37.87466
221710,52.250488
221810,82.947975
221820,88.654968
221900,92.85714
222001,59.375
222002,30.152672
222100,47.188263
222200,32.112331
222500,41.860466
222600,80.409729
222700,99.048134
224010,49.469963
224020,39.106144
224200,44.295303
224310,32.86219
224320,61.224491
224410,69.879517
224420,60.396038
224600,37.684731
224700,97.366051
226001,27.862595
226002,25.203253
226410,38.753387
226420,33.391914
226700,34.004738
227010,41.644562
227020,23.755655
228100,30.104322
228210,31.002331
228220,33.222591
228310,38.584476
228320,42.465752
228410,33.51852
228420,23.72093
228500,36.936935
228600,31.338583
228710,50.19157
228720,28.144989
228800,35.9375
228900,34.070797
229100,36.585365
229200,41.516247
229300,26.111908
229410,33.986927
229420,32.218845
231100,30.310881
231210,33.333332
231220,39.407406
231300,30.831974
231400,35.641548
231500,47.356323
231600,55.568863
231710,45.658684
231720,52.517986
231800,30.536131
231900,26.07527
232110,26.256983
232120,30.537975
232200,18.130312
232300,32.857143
232400,39.166668
232500,30.945559
232600,23.6
232700,19.005848
232800,19.025522
234000,33.396584
234200,51.5625
234300,51.680672
234501,76.100632
234502,4.6728973
234600,41.373238
234700,37.2449
234800,37.526653
234901,45.686901
234902,27.722773
235100,48.026318
235201,31.197771
235202,22.139303
236000,94.326241
236100,27.49004
236202,32.467533
236203,28.353659
236204,32.525951
236400,63.736263
237101,18.007664
237102,35.759495
237201,38.297871
237202,26.608187
237300,45.974026
237401,46.189377
237402,37.559807
237500,25.205479
237600,33.48946
237710,22.751324
237720,43.75
237800,31.764706
237900,46.437996
238000,69.325157
238100,58.89423
238200,44.186047
238310,17.049809
238320,26.126125
238400,49.155724
239201,15.555555
239202,30.955778
239310,20.034542
239320,42.031525
239330,24.336283
239501,27.790432
239502,41.51376
239601,42.058167
239602,33.757961
239701,29.741379
239702,17.03854
239801,38.46154
239802,28
240010,28.008299
240020,15.861215
240200,36.363636
240300,28.785048
240401,30.841122
240402,25.961538
240500,29.62406
240600,36.323368
240700,43.083572
240800,25.118483
240900,40.943684
241001,25.408348
241002,20.817122
241110,32.285713
241120,37.239582
241201,36.494251
241202,24.543947
241300,32.068966
241400,25.252525
242000,24.752476
242100,28.365385
242200,45.769764
242300,42.63158
242600,25.25
242700,11.589896
243000,24.564796
243100,20.580809
261101,64.638786
261102,65.497078
261200,50.488598
262100,74.603172
262200,68.600685
262301,95.955879
262302,73.287674
262303,89.221558
262400,64.084511
262501,37.305698
262601,58.620689
262604,34.482758
262704,45.238094
262706,73.28244
262802,45.762711
264000,54.545456
264102,51.785713
264103,32.758621
264301,43.875687
264302,19.315403
265100,53.521126
265201,97.735504
265202,85.757576
265301,100
265303,94.775215
265304,94.974319
265305,94.018532
265410,46.511627
265420,94.551285
265510,85.064445
265520,60.869564
265601,39.565216
265602,52.320675
265700,46.855347
267100,55.048859
267200,54.487179
267300,50.226246
267402,34.523811
267403,77.673546
267404,34.645668
267501,50.264549
267502,36.645962
267600,40.754719
267700,50.671143
267800,28.318584
267901,31.818182
267902,75.912407
269000,61.274509
269100,71.757927
269300,44.632767
269500,48.717949
269601,36.575874
269602,40.942928
269700,62.566845
269800,44.270832
269903,53.29567
269904,77.822578
269905,30.071175
269906,33.854168
269907,38.010204
270100,40.243904
270200,30.508474
270300,57.727272
271100,44.897961
271200,36.253777
271300,55.76923
271400,62.837837
271500,55.76923
271600,80.707962
271701,51.515152
271702,65.853661
271801,43.763214
